gid,objectname,the_geom_text,geom_type,properties
18065,JL. RO NEW DAGO 01,"LINESTRING(117.453254879562 0.649948947599957,117.453910412891 0.649565441262912,117.454758820791 0.649072267077285,117.45548346998 0.64861394194904,117.456579734139 0.647858324845718,117.457634127849 0.647138964482265,117.457890540166 0.646934881209402,117.458081329568 0.64677136695795)",road,642.659
8357,IN DISP. HIGHRISK PERI,"LINESTRING(117.431586856618 0.59636540171354,117.431717136396 0.596236005594778,117.431805197782 0.595931148558592,117.431985111634 0.595702167292113,117.432589142027 0.595337859419304,117.432884283517 0.595074721569613,117.432908040353 0.594837153216199,117.433248554992 0.594726287984606,117.432774466861 0.594569104553704,117.43255127384 0.594467753869174,117.432342042249 0.594555376788247,117.432366762716 0.59427401718916)",road,415.539
34543,IN CS. BANGAU COAL,"LINESTRING(117.475596782193 0.698115777763749,117.475424444136 0.697264253548719)",road,96.091
21167,JL. RO NEW DAGO 05,"LINESTRING(117.458081329568 0.64677136695795,117.45842981981 0.646458077751101,117.458732548706 0.646179989578729,117.459688912711 0.645089793327807,117.460080748327 0.644652264682408,117.460260273602 0.644455138889334,117.460365876706 0.644317854854872)",road,372.359
35303,IN MHR KELADI,"LINESTRING(117.489682366662 0.698304017117856,117.488535832396 0.698214003357075,117.486854000051 0.698569447488257,117.486146165373 0.698526841509115)",road,398.229
25987,JL. KASWARI 01,"LINESTRING(117.462507140168 0.690069158939138,117.4626987573 0.689649426172103,117.462987400628 0.68916437989175)",road,113.599
19586,JL. TEMBUSAN GATSU,"LINESTRING(117.462036576663 0.655606917570353,117.462553918215 0.655860414930984)",road,64.046
25990,JL. KASWARI 04,"LINESTRING(117.464684385174 0.685331615534925,117.464848892138 0.685037420253773,117.464957577196 0.684874392666273,117.465154568864 0.684758914791793,117.465419488694 0.684677400998043,117.46619561227 0.684701515552871)",road,201.683
31761,JL. RO LIMING,"LINESTRING(117.483718730244 0.698867812521791,117.483423953539 0.701614398815116,117.483448202197 0.702269112581401,117.483957424015 0.702632842451559,117.485388094838 0.702778334399622,117.4863337925 0.703336053533865,117.487667468691 0.704233253880255,117.488419177089 0.704596983750413,117.489073890855 0.704621232408424,117.489898345227 0.705154702884656,117.491135026786 0.705469935438793,117.491741243236 0.705566930070835,117.492298962371 0.705227448858687,117.493293157349 0.705542681412824,117.494020617089 0.705930659940993,117.494820822804 0.706367135785183,117.495499785228 0.706512627733246,117.496542477522 0.706536876391257,117.498603613453 0.706173146521099)",road,2201.017
25988,JL. KASWARI 02,"LINESTRING(117.462987400628 0.68916437989175,117.463269926302 0.68838598852802,117.463590991019 0.687629041168984,117.463804776762 0.686932214447324)",road,263.287
25989,JL. KASWARI 03,"LINESTRING(117.463804776762 0.686932214447324,117.464684385174 0.685331615534925)",road,202.263
35114,IN DISP. KELADI RL 25,"LINESTRING(117.495922930115 0.69958680518128,117.498936699515 0.700648641441404)",road,355.42
9523,JL. CANBERA,"LINESTRING(117.459882588651 0.706300136547313,117.459762384351 0.706403168804767)",road,17.573
36151,IN SUPPORT ADISUCIPTO,"LINESTRING(117.476564285761 0.678737321408103,117.476779211198 0.678794634858069,117.477065778448 0.678601201964431,117.477204380999 0.678303816576422,117.477396124435 0.67761821920751,117.478351467208 0.677429244304821)",road,286.608
34917,JL. RANGKONG 01,"LINESTRING(117.46982724268 0.707164195386407,117.469781863923 0.707403513058058,117.469726368972 0.708019780458005)",road,95.363
27763,JL. KARAKUM 01AA,"LINESTRING(117.466602582554 0.671921728341566,117.466826746485 0.672514455419895)",road,70.13
34552,IN STOCK SCOREA KENARI,"LINESTRING(117.480016423059 0.710346573419423,117.480149343181 0.709760871616351)",road,66.432
35775,JL. FUJIYAMA 05,"LINESTRING(117.44092223516 0.665211557640952,117.441151901287 0.665709982002739)",road,60.754
29289,JL. RO JUANDA 12500,"LINESTRING(117.466108799955 0.653248807635712,117.466873184882 0.653442462075948,117.467445392561 0.653593223380616,117.467877118116 0.653781675011451)",road,205.957
34472,IN CS. SUTAN SJAHRIR,"LINESTRING(117.458554198349 0.577866227087904,117.458724882342 0.578704279945287,117.459608289178 0.578740460430002,117.460065785066 0.577808970015288)",road,307.912
27596,JL. RO CIRU 03,"LINESTRING(117.460155772175 0.653746898979587,117.460027162382 0.653821357280632,117.459939166208 0.653865355367613,117.459851170034 0.653882277708759,117.459732713646 0.653902584518135,117.459626531946 0.653961887006725)",road,64.315
31596,JL. RO BEO 4,"LINESTRING(117.471971878738 0.709839272468351,117.472156629586 0.710229000149677,117.472565154154 0.710816613506114,117.472809737786 0.711049934059427,117.473265870195 0.711428345288654,117.474216665864 0.712039913646616)",road,355.95
26726,JL. RO ADAM MALIK 100,"LINESTRING(117.463861998997 0.580604483376774,117.464202055303 0.580219794680492)",road,56.94
34338,IN DISP. CADAS RL100,"LINESTRING(117.454311779444 0.71954219588518,117.455862535081 0.71836671134734)",road,216.08
34717,IN DISP SUPPORT TAMAN SARI,"LINESTRING(117.459760629917 0.718502292825678,117.459793668136 0.718964827885526,117.459708673489 0.719289311865115,117.459608798777 0.719542327800923,117.459535557322 0.719795343736731,117.459533866236 0.720111042966926,117.459468323571 0.720480465259803,117.459164443943 0.721272935662265)",road,317.961
30095,JL. RO HOS COKRO AMINOTO 08,"LINESTRING(117.459723830895 0.663717831800382,117.45999375965 0.664368829335567,117.460572090969 0.665490680873692)",road,217.76
35170,IN WF BALIKPAPAN,"LINESTRING(117.488876700853 0.715885078948471,117.489171275125 0.715802172019709)",road,34.047
27488,JL. RO CIRU 01,"LINESTRING(117.458975607089 0.659302053585991,117.45941005849 0.658821260702566,117.459621491505 0.658563486204826,117.460282006145 0.658018943841775,117.460470720022 0.657859570862293)",road,231.284
27234,JL. RO SAKURA 10200,"LINESTRING(117.470015187527 0.637362398375775,117.470317401198 0.635584792245258)",road,199.416
27235,JL. RO SAKURA 10400,"LINESTRING(117.469296534729 0.638938874380488,117.469593741153 0.638578767992984,117.469919248515 0.637756433603885,117.470015187527 0.637362398375775)",road,194.511
27108,JL. RO BEO 8,"LINESTRING(117.478136144087 0.711444240523359,117.477568781005 0.711850469851318)",road,77.499
30096,JL. RO HOS COKRO AMINOTO 09,"LINESTRING(117.460572090969 0.665490680873692,117.460940516028 0.66608173687576)",road,77.157
26766,JL. RO HASSANUDIN 2300,"LINESTRING(117.456985964047 0.595781707716101,117.457319866247 0.597155457338427,117.457311574306 0.597719309371478,117.457150585186 0.598385757948365)",road,294.577
27791,IN SUPPORT TSSP THIESSS,"LINESTRING(117.417457214724 0.59982246635936,117.419359543571 0.598693187545396,117.420291057483 0.598145238185919,117.421962303029 0.597474000220559,117.42380400334 0.596723268535725,117.425022722288 0.595298395626065)",road,995.303
25493,JL. RO IKN 2,"LINESTRING(117.46517586346 0.665792503390346,117.465281369299 0.666396764107694)",road,67.84
17962,JL. RO GATSU 10,"LINESTRING(117.460155772175 0.653746898979587,117.459852320124 0.651778205473324,117.45952558745 0.649933981043516)",road,427.434
25995,JL. RO KASWARI 09,"LINESTRING(117.472956227155 0.687342020651155,117.473955070349 0.688235345574033)",road,148.724
25564,JL. RO MOH NATSIR 02,"LINESTRING(117.425022722288 0.595298395626065,117.427883487405 0.595464719179357,117.431586856618 0.59636540171354)",road,743.067
19058,JL. RO BEIJING 12,"LINESTRING(117.453144637759 0.714254895335197,117.453028464285 0.714513058610038)",road,31.339
25965,JL. RO IKN 6,"LINESTRING(117.466056326333 0.670402420134635,117.46587646932 0.670489147939869,117.465757476898 0.671650654927464)",road,151.313
18237,JL. RO GATSU 11,"LINESTRING(117.45952558745 0.649933981043516,117.459336987558 0.649076734822246,117.459217378184 0.648742825321237,117.459067866467 0.648324192514001,117.458509689391 0.647367317526034)",road,308.226
25997,JL. RO KASWARI 11,"LINESTRING(117.4755082849 0.689099655511434,117.476175565652 0.689104434015463)",road,74.278
29352,JL. RO MERPATI 4,"LINESTRING(117.477929461361 0.697808304094042,117.478663213367 0.697691102718239,117.480579922665 0.697346370830153,117.481238391422 0.697365898398361,117.481862325289 0.697725575907048,117.482662560292 0.698298982187635,117.483718730244 0.698867812521791)",road,695.454
26504,JL. RO KOLIBRI 04,"LINESTRING(117.478955613521 0.71097737005256,117.478225241123 0.71021225547941)",road,117.333
24820,JL. RO MT HARYONO 01,"LINESTRING(117.460940516028 0.66608173687576,117.461150491338 0.666203242812118,117.461381514039 0.666411616228338,117.461801861986 0.667001389329783,117.462079347522 0.667227050686991,117.462724378641 0.66752933560813)",road,260.656
24821,JL. RO MT HARYONO 02,"LINESTRING(117.462724378641 0.66752933560813,117.46318489228 0.667820824149592,117.463303078509 0.667873351362669,117.463477074903 0.667896332018389,117.463637939493 0.667886483165938,117.463759408673 0.667840521854496,117.463913707361 0.667745316280795,117.464026950453 0.66760296858629,117.464203614871 0.667335707030704)",road,202.657
26021,JL. RO KENARI 12,"LINESTRING(117.489897434009 0.713792032593971,117.489265311704 0.713113223812081)",road,102.882
26502,JL. RO KOLIBRI 2,"LINESTRING(117.480451984349 0.713663544349426,117.479849506898 0.712390051451821)",road,155.969
26503,JL. RO KOLIBRI 3,"LINESTRING(117.479849506898 0.712390051451821,117.479147848152 0.711141110098717,117.478955613521 0.71097737005256)",road,186.686
24822,JL. RO MT HARYONO 03,"LINESTRING(117.464203614871 0.667335707030704,117.464501071784 0.666432044497677,117.464774488863 0.665830526922398,117.46506795976 0.665737352610588,117.46517586346 0.665792503390346)",road,226.133
32710,IN CS. LAS VEGAS,"LINESTRING(117.470015187527 0.637362398375775,117.469651024536 0.637371114310486,117.468989968412 0.638428804110332,117.468352243679 0.638825437785275)",road,262.166
26508,JL. RO KOLIBRI 08,"LINESTRING(117.474909548103 0.708564917791261,117.473505697593 0.708435763544398)",road,156.915
26026,JL. RO BALIKPAPAN 07,"LINESTRING(117.494127546826 0.713937544195983,117.49554704537 0.715065759389672)",road,201.318
26022,JL. RO BALIKPAPAN 03,"LINESTRING(117.490666048542 0.714190385310107,117.489897434009 0.713792032593971)",road,96.228
26499,JL. RO KOLIBRI 06,"LINESTRING(117.477467604662 0.709710551699755,117.47514427864 0.708663759636085)",road,283.333
26500,JL. RO KOLIBRI 07,"LINESTRING(117.47514427864 0.708663759636085,117.474909548103 0.708564917791261)",road,28.322
34487,IN CS. CANBERA,"LINESTRING(117.458364289491 0.707415996880749,117.458235905221 0.70704508310925,117.459165762825 0.706421932463593,117.459535758521 0.706606930311522)",road,213.758
26498,JL. RO KOLIBRI 05,"LINESTRING(117.478225241123 0.71021225547941,117.477721521643 0.709916823435891,117.477467604662 0.709710551699755)",road,101.211
34721,IN DISP. HIMALAYA,"LINESTRING(117.438158863432 0.654674357840061,117.437828442658 0.656958909587213,117.437624026452 0.657392271943954,117.437002601186 0.65772751452181)",road,386.802
26028,JL. RO BALIKPAPAN 09,"LINESTRING(117.497057251708 0.715824189847766,117.497836386804 0.716294917301575,117.498104214493 0.716635788906057,117.498435093686 0.717467976074362)",road,248.319
36237,IN DISP. LR KERTAJATI,"LINESTRING(117.432202154064 0.635074451176991,117.43195468103 0.634807158923985,117.431678197921 0.634687175688007,117.428314091179 0.631860779346518)",road,561.666
26501,JL. RO KOLIBRI 1,"LINESTRING(117.48039125657 0.714777586775423,117.480451984349 0.713663544349426)",road,123.37
30098,JL. RO SOEDIRMAN 05,"LINESTRING(117.452382180516 0.647303027659512,117.452574675648 0.647911469149453,117.453254879562 0.649948947599957)",road,308.283
23437,JL. STP MERAK 02,"LINESTRING(117.469224143446 0.569705970309575,117.469471747313 0.569839588876004)",road,31.272
23919,JL. RO STP BELUT 02,"LINESTRING(117.437976134626 0.601878526798674,117.437693749721 0.600089166063648)",road,200.339
23438,JL. STP MERAK 03,"LINESTRING(117.469471747313 0.569839588876004,117.469508598937 0.570054936701811,117.46949278001 0.57023158139071,117.469371501567 0.570418772031184)",road,68.486
26380,JL. RO SAMARINDA 10,"LINESTRING(117.499639621225 0.720678620896505,117.499798183252 0.720857227230089,117.499887177456 0.721162350213212,117.500078694058 0.72164894434789)",road,119.524
26537,JL. RO KOLIBRI 10,"LINESTRING(117.473081626915 0.708535002474287,117.472984612709 0.708747687463957,117.472932374291 0.709232758493029,117.473004659398 0.709846530883918)",road,148.172
26741,JL. RO ADAM MALIK 1100,"LINESTRING(117.457682531613 0.587728674678332,117.45886647943 0.586230548600045)",road,211.683
